frame,rgb_path,raw_candidate_count,accepted_count,rank0_score,rank0_semantic,rank0_appearance,rank0_geometric,rank0_bbox_area,rank0_mask_area,min_final_score_pass,min_bbox_area_pass,min_mask_area_pass,depth_valid_ratio,depth_validity_pass,feature_match_count,rejection_reason,cause_class
000000,output/qa_performance_20260609/only_Milk/extracted/rgb/000000.png,44,0,0.6334791779518127,0.6248686909675598,0.7267884612083435,0.5487805008888245,6580.0,6098,True,False,False,0.9916366021646441,True,not_logged,mask_area_below_min;bbox_area_below_min,bbox_and_mask_area_below_min
000005,output/qa_performance_20260609/only_Milk/extracted/rgb/000005.png,45,0,0.62762051820755,0.6252342462539673,0.720794677734375,0.5368326306343079,6674.0,6260,True,False,False,0.9921725239616613,True,not_logged,mask_area_below_min;bbox_area_below_min,bbox_and_mask_area_below_min
000010,output/qa_performance_20260609/only_Milk/extracted/rgb/000010.png,46,0,0.6227278709411621,0.5905736088752747,0.6272414922714233,0.6539455056190491,2332.0,1585,True,False,False,0.9861198738170347,True,not_logged,mask_area_below_min;bbox_area_below_min,bbox_and_mask_area_below_min
000015,output/qa_performance_20260609/only_Milk/extracted/rgb/000015.png,47,0,0.6360778212547302,0.6306750178337097,0.7287780046463013,0.5487805008888245,6580.0,6074,True,False,False,0.9934145538360224,True,not_logged,mask_area_below_min;bbox_area_below_min,bbox_and_mask_area_below_min
000020,output/qa_performance_20260609/only_Milk/extracted/rgb/000020.png,44,0,0.6320209503173828,0.6256553530693054,0.7249641418457031,0.5445506572723389,6816.0,6243,True,False,False,0.9911901329489028,True,not_logged,mask_area_below_min;bbox_area_below_min,bbox_and_mask_area_below_min
000025,output/qa_performance_20260609/only_Milk/extracted/rgb/000025.png,44,0,0.6335082650184631,0.6265468001365662,0.7285196185112,0.5445506572723389,6816.0,6256,True,False,False,0.9900895140664961,True,not_logged,mask_area_below_min;bbox_area_below_min,bbox_and_mask_area_below_min
000030,output/qa_performance_20260609/only_Milk/extracted/rgb/000030.png,46,0,0.6381742358207703,0.6372230648994446,0.7304641008377075,0.5468354225158691,6768.0,6035,True,False,False,0.9913835956917978,True,not_logged,mask_area_below_min;bbox_area_below_min,bbox_and_mask_area_below_min
000035,output/qa_performance_20260609/only_Milk/extracted/rgb/000035.png,45,0,0.6305864453315735,0.6302229166030884,0.7233656644821167,0.5381708145141602,6816.0,6174,True,False,False,0.9936831875607386,True,not_logged,mask_area_below_min;bbox_area_below_min,bbox_and_mask_area_below_min
000040,output/qa_performance_20260609/only_Milk/extracted/rgb/000040.png,45,0,0.6292861700057983,0.6284109354019165,0.7203470468521118,0.5381708145141602,6816.0,6152,True,False,False,0.9944733420026007,True,not_logged,mask_area_below_min;bbox_area_below_min,bbox_and_mask_area_below_min
000045,output/qa_performance_20260609/only_Milk/extracted/rgb/000045.png,47,0,0.632321834564209,0.6367931365966797,0.7187276482582092,0.5414448380470276,6768.0,6145,True,False,False,0.9960943856794141,True,not_logged,mask_area_below_min;bbox_area_below_min,bbox_and_mask_area_below_min
000050,output/qa_performance_20260609/only_Milk/extracted/rgb/000050.png,45,0,0.6257174611091614,0.626410186290741,0.7092973589897156,0.5414448380470276,6768.0,6131,True,False,False,0.9962485728266188,True,not_logged,mask_area_below_min;bbox_area_below_min,bbox_and_mask_area_below_min
