bag,min_bbox_area,min_mask_area,min_final_score,candidate_output_count,tp,fp,tn,fn,visible_recall,hidden_fpr,hand_interaction_fpr,fpr,precision,hidden_fp,hand_fp,revisible_recovery_success,revisible_transition_count,revisible_recovery_rate
SLAM_with_milk_nomilk,4000,5000,0.45,188,152,36,289,35,0.8128342245989305,0.08256880733944955,0.16822429906542055,0.11076923076923077,0.8085106382978723,18,18,4,4,1.0
only_Milk,4000,5000,0.45,171,171,0,0,2,0.9884393063583815,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,4000,5000,0.5,146,143,3,322,44,0.7647058823529411,0.013761467889908258,0.0,0.009230769230769232,0.9794520547945206,3,0,4,4,1.0
only_Milk,4000,5000,0.5,171,171,0,0,2,0.9884393063583815,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,4000,5000,0.55,100,99,1,324,88,0.5294117647058824,0.0045871559633027525,0.0,0.003076923076923077,0.99,1,0,4,4,1.0
only_Milk,4000,5000,0.55,168,168,0,0,5,0.9710982658959537,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,4000,5000,0.6,0,0,0,325,187,0.0,0.0,0.0,0.0,,0,0,0,4,0.0
only_Milk,4000,5000,0.6,118,118,0,0,55,0.6820809248554913,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,4000,6000,0.4,334,155,179,146,32,0.8288770053475936,0.47706422018348627,0.7009345794392523,0.5507692307692308,0.46407185628742514,104,75,4,4,1.0
only_Milk,4000,6000,0.4,166,166,0,0,7,0.9595375722543352,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,4000,6000,0.45,166,132,34,291,55,0.7058823529411765,0.07339449541284404,0.16822429906542055,0.10461538461538461,0.7951807228915663,16,18,4,4,1.0
only_Milk,4000,6000,0.45,164,164,0,0,9,0.9479768786127167,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,4000,6000,0.5,125,123,2,323,64,0.6577540106951871,0.009174311926605505,0.0,0.006153846153846154,0.984,2,0,4,4,1.0
only_Milk,4000,6000,0.5,164,164,0,0,9,0.9479768786127167,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,4000,6000,0.55,83,82,1,324,105,0.4385026737967914,0.0045871559633027525,0.0,0.003076923076923077,0.9879518072289156,1,0,4,4,1.0
only_Milk,4000,6000,0.55,160,160,0,0,13,0.9248554913294798,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,4000,6000,0.6,0,0,0,325,187,0.0,0.0,0.0,0.0,,0,0,0,4,0.0
only_Milk,4000,6000,0.6,109,109,0,0,64,0.630057803468208,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,5000,1000,0.4,440,183,257,68,4,0.9786096256684492,0.7339449541284404,0.9065420560747663,0.7907692307692308,0.4159090909090909,160,97,4,4,1.0
only_Milk,5000,1000,0.4,173,173,0,0,0,1.0,,,,1.0,0,0,,,
